Statistiche Fantacalcio Stagione 2021 22;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2206;D;"Ds;E";Felicioli;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
2328;D;Dc;Vanheusden;Genoa;14;5,57;5,32;0;0;0;0;0;0;0;3;0;1
2453;D;Dc;Nastasic;Fiorentina;4;5,5;5,38;0;0;0;0;0;0;0;1;0;0
2668;D;"Dd;Ds;Dc";Retsos;Verona;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2769;D;Dc;Magnani;Sampdoria;14;5,79;5,61;0;0;0;0;0;0;0;3;1;0
4323;D;"Ds;E";Zeegelaar;Udinese;12;5,58;5,5;0;0;0;0;0;0;0;2;0;0
4373;D;"Dd;Ds;E";Mateju;Venezia;9;5,44;5,39;0;0;0;0;0;0;1;3;0;0
4374;D;Dc;Walukiewicz;Cagliari;6;5,67;5,58;0;0;0;0;0;0;0;1;0;0
4375;D;"Ds;E";Terzic;Fiorentina;7;6;6,07;0;0;0;0;0;0;1;1;0;0
4403;D;Dc;Chabot;Sampdoria;9;5,56;5,28;0;0;0;0;0;0;0;5;0;0
4414;D;"Ds;Dc";Denswil;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4494;D;"Ds;Dc";Empereur;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4881;D;"Ds;E";Czyborra;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
4945;D;"Ds;E";Calafiori;Genoa;4;5,62;5,62;0;0;0;0;0;0;1;3;0;0
4946;D;"Ds;E";Frabotta;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
4985;D;"Dd;E";Vignali;Spezia;1;4,5;4,5;0;0;0;0;0;0;0;0;0;0
5010;D;Dc;Ismajli;Empoli;17;5,5;5,06;0;0;0;0;0;0;0;7;0;2
5445;D;Dc;Binks;Bologna;11;5,91;5,77;0;0;0;0;0;0;0;3;0;0
5456;D;"Dd;E";Ferrarini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
5461;D;"Ds;E";Kamenovic;Lazio;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5463;D;Dc;Aya;Salernitana;2;5;4,75;0;0;0;0;0;0;0;1;0;0
5464;D;Dc;Bogdan;Salernitana;6;5,25;5,25;0;0;0;0;0;0;0;0;0;0
5466;D;Dc;Strandberg;Salernitana;11;5,68;5,41;0;0;0;0;0;0;0;0;1;1
